,DOGE-USD,XRP-USD,BTC-USD,ETC-USD,XLM-USD,ADA-USD,DASH-USD,TRX-USD,ETH-USD,BNB-USD,LTC-USD,BCH-USD,EOS-USD,NEO-USD,USDT-USD,XMR-USD,MIOTA-USD,XTZ-USD,XEM-USD
06-20-20,169917761.0,893641269.0,15324301169.0,508650064.0,329921806.0,151949751.0,275515162.0,912842172.0,5600408178.0,151504787.0,1362753187.0,1140422501.0,1079575379.0,307723824.0,18590123868.0,60392361.0,10420762.0,70563395.0,11632685.0
06-21-20,173530825.0,1209278721.0,21104009514.0,561565050.0,414440267.0,202271174.0,278429245.0,785970254.0,9079586552.0,181943736.0,1659721584.0,1747834935.0,1344062923.0,369754221.0,25901068733.0,82556416.0,13208093.0,86427173.0,11880568.0
06-22-20,171604774.0,1093605185.0,17006433272.0,551108487.0,377047281.0,184078790.0,318605417.0,782289505.0,6624530348.0,165960947.0,1365925951.0,1205235951.0,1080367867.0,362250215.0,21481732223.0,85517277.0,13464147.0,124142617.0,9729094.0
06-23-20,178380748.0,1138044691.0,18961716076.0,526968781.0,372491015.0,302220209.0,268137797.0,586064620.0,8815030025.0,168239834.0,1493695398.0,1318424526.0,1339866596.0,357164470.0,25367004473.0,72674399.0,11591133.0,123144383.0,9609359.0
06-24-20,160003354.0,1055030012.0,18616048626.0,435301522.0,331356547.0,207010908.0,200313209.0,514058865.0,7010426122.0,143049947.0,1311840193.0,1119333309.0,1097051183.0,301842773.0,21617089198.0,68046486.0,10988700.0,96155213.0,8894021.0
06-25-20,151319087.0,1269492277.0,18341465837.0,444438720.0,314879213.0,163378517.0,189178540.0,536770368.0,7187490226.0,136599245.0,1714646169.0,1354186233.0,1461058042.0,284410047.0,22595324560.0,63054728.0,10215809.0,117403819.0,6904051.0
06-26-20,152534000.0,1142888783.0,17273093144.0,534396395.0,283951205.0,148184221.0,191819541.0,579087365.0,6918380955.0,152435707.0,1453347400.0,1254377553.0,1484900423.0,296221949.0,22069989504.0,61079906.0,11404281.0,97311609.0,7745043.0
06-27-20,172693834.0,1139431604.0,14560870760.0,462999765.0,220022782.0,188871401.0,187749041.0,524320333.0,6205925718.0,159817886.0,1337385786.0,1103240861.0,1149400723.0,277851495.0,18015458533.0,54082128.0,10058052.0,77570461.0,5520094.0
06-28-20,172655788.0,1164729579.0,16460547078.0,533800507.0,291925173.0,275593607.0,210228706.0,715965924.0,6726164653.0,167963469.0,1668680719.0,1220387625.0,1210910579.0,280837180.0,20201360245.0,63712363.0,11217001.0,70431090.0,5158919.0
06-29-20,165641131.0,1010363683.0,15735797744.0,433251874.0,289552123.0,208687716.0,192582138.0,670713846.0,6094093001.0,151582461.0,1390313389.0,1035300969.0,931091007.0,211748739.0,18926019120.0,64386025.0,14073488.0,59282212.0,6841978.0
