Date,GME,AMC,BB,NOK,TSLA,SNDL,NIO,NAKD,AMD,AAPL,TLRY,WKHS,MVIS,CLNE,AAL,APHA,CTRM,BBBY,PRPL,MSFT
6/21/20,0,0,0,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
6/22/20,0,0,0,3,7,0,7,0,2,3,0,3,1,0,9,0,0,0,0,29
6/23/20,0,0,0,0,1,0,0,0,0,4,1,1,0,0,5,0,0,0,0,35
6/24/20,0,0,0,0,3,0,3,0,4,5,0,10,0,0,1,0,0,0,0,8
6/25/20,0,0,0,0,7,0,0,0,6,1,2,2,0,0,5,0,0,0,0,4
6/26/20,0,0,0,1,5,0,0,0,5,2,0,3,0,0,3,0,0,0,0,1
6/27/20,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,4
6/28/20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
6/29/20,0,0,0,1,14,0,0,0,2,0,0,8,0,0,0,0,0,0,0,1
6/30/20,0,3,2,3,21,0,0,0,1,1,0,15,0,0,11,0,0,0,26,3
7/1/20,1,0,0,0,23,0,1,0,3,2,0,12,0,0,1,0,0,0,0,3
7/2/20,0,1,0,3,62,0,5,0,2,1,0,4,0,0,0,0,0,0,0,0
7/3/20,1,0,0,0,20,0,17,0,0,0,0,2,0,0,0,0,0,0,1,4
7/4/20,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7/5/20,0,0,0,0,15,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0
7/6/20,0,0,0,0,87,0,14,0,0,1,2,2,0,0,1,0,0,3,0,15
7/7/20,0,0,0,0,90,0,23,0,10,4,0,3,0,0,2,0,0,0,0,5
7/8/20,0,0,0,0,48,0,16,0,10,0,0,2,0,0,2,0,0,3,1,7
7/9/20,0,0,0,6,50,0,22,0,23,3,0,1,0,0,5,0,0,1,0,9
7/10/20,0,0,0,0,82,0,42,0,11,8,1,0,0,0,10,1,0,0,0,5
7/11/20,0,0,0,0,52,0,7,0,6,2,0,1,0,0,2,0,0,2,0,3
7/12/20,0,0,0,0,38,0,7,0,1,3,0,0,0,0,1,0,0,2,0,2
7/13/20,0,0,0,1,106,0,19,0,7,9,0,2,0,0,5,0,0,0,0,12
7/14/20,0,1,1,4,67,0,5,0,9,0,0,0,0,0,1,0,0,0,0,2
7/15/20,0,0,0,0,35,0,1,0,1,2,0,0,0,0,6,1,0,0,3,5
7/16/20,0,2,0,0,38,0,12,0,2,1,0,1,0,0,2,0,0,1,0,11
7/17/20,0,0,1,1,40,0,19,0,7,1,0,4,3,0,1,0,0,0,0,13
7/18/20,0,0,0,0,23,0,5,0,0,0,0,0,0,0,0,1,0,0,0,3
7/19/20,0,0,0,0,9,0,6,0,0,0,0,0,0,0,2,0,0,0,0,2
7/20/20,0,0,0,1,38,0,6,0,4,1,0,0,0,0,0,0,0,0,7,8
7/21/20,1,0,0,0,86,0,7,0,3,6,0,1,0,0,1,1,0,0,1,5
7/22/20,0,0,0,2,60,0,2,0,21,1,0,0,0,0,0,0,0,0,0,14
7/23/20,0,0,0,0,54,0,0,0,10,5,0,0,0,0,3,0,0,0,0,9
7/24/20,0,0,0,0,44,0,1,0,49,3,1,0,0,0,1,0,0,0,1,7
7/25/20,0,0,0,0,15,0,1,0,29,3,0,0,0,0,0,1,0,0,0,3
7/26/20,0,0,0,0,18,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1
7/27/20,0,0,0,0,12,0,54,0,13,4,0,0,0,0,0,2,0,0,0,11
7/28/20,0,0,0,1,28,0,1,0,43,3,1,0,1,0,2,1,0,0,1,1
7/29/20,0,0,0,0,17,0,0,0,33,0,0,0,0,0,1,1,0,0,9,8
7/30/20,1,0,1,3,11,0,2,0,24,17,0,0,0,0,0,0,0,0,10,9
7/31/20,0,0,3,2,11,0,2,0,15,30,0,1,0,0,4,0,0,0,18,14
8/1/20,1,1,0,0,10,0,4,0,2,12,0,0,0,0,0,0,0,0,2,10
8/2/20,0,0,0,8,11,0,21,0,7,8,0,0,0,0,0,0,0,0,19,16
8/3/20,0,0,0,0,15,0,30,0,5,21,0,1,0,0,0,0,0,0,44,56
8/4/20,3,0,0,3,10,0,1,0,25,13,4,0,1,0,5,1,0,0,103,18
8/5/20,1,4,0,0,9,0,7,0,18,4,3,0,0,0,4,0,0,0,46,14
8/6/20,0,0,0,1,9,0,7,0,20,9,0,0,0,0,3,0,0,0,23,6
8/7/20,0,0,0,0,10,0,2,0,7,1,1,3,0,0,0,1,0,0,27,12
