,GME,AMC,BB,NOK,TSLA,SNDL,NIO,NAKD,AMD,AAPL,TLRY,WKHS,MVIS,CLNE,AAL,APHA,CTRM,BBBY,PRPL,MSFT
06-22-20,3178900,4412800,5146700,20886700,31812000,674400,112976000,18076500,44704800,135445200,5584400,19458200,33771400,617700,118994500,1818887,3207300,10353300,752300,32818900
06-23-20,3205400,5699300,4459700,20228600,31826500,1109600,79863500,5091500,48089000,212155600,9327500,26379400,13514600,673400,204022300,4951629,11283700,10460100,666500,30917400
06-24-20,2976200,8104100,7844400,36423100,54798000,679500,103888600,2974500,53535500,192623200,4221600,92541700,12143700,950000,140975500,4325678,111390600,12167900,1041300,36740600
06-25-20,2450800,8251400,7956500,43493900,46272500,511200,46660300,1357700,51129600,137522400,7755600,81908900,4788100,786600,117383400,3508357,44873700,7319800,478800,27803900
06-26-20,3801200,5601000,4769200,40939600,44274500,534800,33596800,7768500,65485700,205256800,6340900,49997800,5777500,1755500,108813000,2900398,36276500,16589700,1352400,54675800
06-29-20,2131200,9321600,4448700,30304200,45132000,600500,46070400,8781000,49905800,130646000,3892700,128988900,3246700,1581200,115051100,3470530,18552000,13012400,1946200,26701600
06-30-20,3889000,3653400,4433200,21533700,84592500,634400,84485500,4786400,42275700,140223200,7208500,165502100,3264200,1041000,69607700,3270947,34158100,8988300,733600,34310300
07-01-20,2303700,4914500,3522800,24728800,66634500,464400,64842600,8166100,32370900,110737200,4558600,125895700,6731600,800500,116661700,3110984,13505100,7783500,595800,32061200
07-02-20,1887600,3908400,6370600,26431200,86250500,558700,221496700,7869400,29081400,114041600,4180500,120960800,7180600,745800,86439500,2096883,15475800,8660600,448500,29315800
07-06-20,2140900,5489700,4578900,56523000,102849500,508500,329223800,4997100,36769400,118655600,13614800,63612900,3624900,1374000,79312900,2495282,8606400,9262200,633500,31897600
07-07-20,2456600,2667600,2831900,59104900,107448500,413100,444070500,2939900,32153100,112424400,6576800,57404600,3391600,1872500,77998100,1910328,6669600,12623600,599900,33600700
07-08-20,2052800,5586800,2486600,56456500,81556500,294200,570911400,11589100,35608300,117092000,4719000,31920600,3004100,70212500,85034500,2085547,4885700,20095800,889000,33600000
07-09-20,1992600,4225700,2714800,37914500,58588000,553500,316792000,5500100,87216300,125642800,3847500,21460100,2854700,19042900,77131200,2760350,22846900,66746000,682000,33121700
07-10-20,1410800,3306100,2852000,25485100,116688000,498300,318851300,3664500,59839700,90257200,7174400,30692800,8445200,6734200,90450800,3091538,23794700,22363100,1031800,26177600
07-13-20,4216200,4464800,3526900,37504700,194927000,1525700,313460300,5372000,57741800,191649200,8702200,39069700,19104100,4674000,67580300,11578100,71677900,23009200,1311900,38135600
07-14-20,2261600,3291400,3662800,38867000,117090500,425600,196123200,5140800,54890100,170989200,3911200,20897500,5977200,2938400,49888200,8726709,21926100,17852700,568200,37591800
07-15-20,1474100,4830700,3575500,29809700,81839000,1044500,114603700,13287800,42360300,153198000,5908000,12947900,15918200,2827300,135444400,10406746,18586700,16161100,3799800,32179400
07-16-20,1330100,1997500,2076300,21948700,71504000,778000,134606300,16055900,36887100,110577600,3938100,10218400,37666200,2487200,81514000,5142646,25942500,13872500,666100,29940700
07-17-20,3065900,2101700,2771600,50071100,46650000,939400,289518000,4013400,34710400,92186800,5242500,13502500,83554300,1901100,67934100,6500648,22536600,7104200,686700,31635300
07-20-20,3401100,2393100,3248600,30552900,85607000,677400,155428100,2645700,45034300,90318000,3309900,30269500,24318800,1924100,64109600,4237850,36960700,8257200,532500,36884800
07-21-20,3337900,1925900,3336900,26432000,80536000,696400,128036000,4617900,44741000,103433200,4886800,11719700,15770600,2266500,64509800,3798951,22060700,9629000,606900,37990400
07-22-20,2523500,2798800,2395500,23368000,70805500,1801900,112260500,1887700,135159400,89001600,3534300,10116600,23695800,1675100,42461300,3948795,13337400,12162600,501600,49605700
07-23-20,3237200,3614300,3280500,35977300,121642500,1459300,95206300,3043900,106829100,197004400,6336500,13753600,7423100,2789300,115574800,3856147,8612000,11757800,608700,67457000
07-24-20,2215900,3282400,3103700,22774400,96983000,1317200,93425300,7655700,205314500,185438800,6815600,10031700,5973400,1344700,53761400,3393782,10186900,5977800,645900,39827000
07-27-20,2472700,2980500,2975600,21065900,80243500,2640300,64068500,4577500,107918100,121214000,5970500,8577600,6070400,1221100,69451700,12331217,11585700,8996000,1234700,30160900
07-28-20,4555400,6226600,2635000,19863400,79043500,2072600,90075800,25797300,94181400,103625600,12667000,13403300,4435300,1299000,62356600,15893075,10110200,7753800,1461000,23251400
07-29-20,2879600,5489400,3937200,15453400,47134500,1305600,69552600,7869500,132969700,90329200,7518500,12391200,6161500,1177100,52214600,22513898,12628600,5728000,1927100,19632600
07-30-20,2398500,3699100,3197500,58415900,38105000,981200,64952900,4785000,80286900,158130000,3145500,18741600,7889800,1039400,40525100,7754635,7070600,14331000,2524900,25079600
07-31-20,1879400,2584900,2154800,117875600,61041000,979600,61620400,7282800,71621600,374336800,3742200,10543700,6421700,1024000,51691400,9928552,7024400,8847500,1854600,51044000
08-03-20,2517600,4047100,1905700,62489200,44046500,1154000,122925300,4279900,42628800,308151200,5313100,39707900,4577000,1936600,48264000,6327227,11690900,6116100,2386300,78983000
08-04-20,10361400,3267800,3146700,42735100,42075000,2307900,125731400,3683000,155676100,173071600,20125600,27040100,25540600,1063100,54824400,7437970,5187000,4722800,3495400,49280100
08-05-20,4919300,1691500,2314000,36259200,24739000,1222000,60046000,3255700,65642600,121776800,8563500,11186900,37675100,4423400,113130600,4844081,9108800,5149900,1383500,28806400
08-06-20,1901200,3742600,5436300,30262600,29961500,1319900,49787700,4900300,53961700,202428800,5293100,10685800,22518900,3141400,131280100,4133470,4988400,5586000,890100,32656800
08-07-20,3341100,24917400,5364600,21405300,44482000,2053600,57746000,1977300,66543200,198045600,5445800,17088400,10078900,5463400,61700700,7073264,4388300,9579000,983500,27820400
08-10-20,4561800,5048200,2386700,21177600,37611500,2209700,84267300,4548000,70536100,212403600,13061700,22970200,12534100,2016700,121073900,4283269,5966000,8945700,650000,36716500
08-11-20,3138800,5794800,3279900,40259300,43129000,1384700,181311500,4234700,77877700,187902400,14118900,10984200,8937800,2935900,127879300,3200877,5280000,11863300,1279900,36446500
08-12-20,3057600,2457900,1893900,21654000,109147000,32487100,77260200,3156700,88513700,165598000,5310200,12110000,8252800,1561600,77379800,3125375,6452800,5997700,1007000,28013100
08-13-20,2128300,23259200,2495600,21989500,102126500,61305600,50093500,7160000,57407400,210082000,6268100,13478000,9050900,1409600,47772800,3312442,9744000,4614000,3033700,22588900
08-14-20,3474400,12055800,2574800,18991900,62888000,55624200,63250700,3149900,42389500,165565200,7354700,8058200,2551600,1622400,45670200,5340547,5631300,3630800,3821100,17958900
08-17-20,2371000,7159200,1842300,24050200,101211500,24895700,78340500,2047400,31450200,119561600,4687100,13341100,4036500,1870600,56206600,2874310,5538200,6443200,1222200,20184800
08-18-20,3834400,5790700,2432900,18338100,82372500,21044600,69962400,4913400,30970500,105633600,3354000,27160400,2787000,1357200,33322300,2756621,11738400,6857600,1076700,21336200
08-19-20,2612600,5728300,2641700,20351200,61026500,15613800,41966800,9415100,37507400,145538000,3193200,15193900,3980700,2885900,59266500,2391605,8836000,5460300,993100,27627600
08-20-20,2441200,13728400,2103300,15366400,103059000,14632300,50072800,59209400,42948900,126907200,3434700,7609100,3297000,1328200,41956600,1713774,16619600,7521300,754100,26981500
08-21-20,10642600,8216900,2038200,15015100,107448000,14177400,70189900,12358400,48280300,338054800,3937300,8338500,3837700,1927000,35822900,2225564,7217400,5713800,2231200,36249300
08-24-20,4585400,8498200,2528200,12604400,100318000,17088000,98697700,6605300,38036100,345937600,5901100,9392000,6044200,1649000,102685700,2463465,4433900,8143900,1908300,25460100
08-25-20,2998700,5296900,2470300,13587400,53294500,6219900,299047800,4541300,49234400,211495600,3398700,29695100,10889600,1124000,79053400,2141284,4182000,5193500,1388800,23043700
08-26-20,2779700,4419400,7741000,19752400,71197000,6268700,364104600,2859200,47157300,163022400,3067900,18935900,11455500,1081300,44056800,1737368,33463500,5023500,829300,39600800
08-27-20,3384400,31921200,3544300,25348600,118465000,7700500,199850300,4750800,42194200,155552400,2768200,9735400,11352000,1972500,108835700,1742733,14941100,5959300,736400,57602200
08-28-20,4236900,9882700,3993900,20820200,100406000,8860000,154799800,4210900,40723300,187630000,3697400,12299400,4176600,855900,54516400,6119449,17784500,5894100,681200,26292900
08-31-20,37976000,9820200,4303000,22437800,118374400,24545300,226610900,3292900,90655900,225702700,7911700,46909100,3173000,1366200,45917200,3797652,7154500,6696900,803800,28774200
09-01-20,23158600,9524000,6654800,49143200,89841100,9857500,137226000,35662100,55825600,151948100,4445500,32910200,4284200,1270800,72849700,2640625,5807900,9212000,2080100,25725500
09-02-20,13011100,43056200,5100100,31895600,96176100,4876900,153460600,12690700,50366900,200119000,3025300,22745300,2304900,2644300,58889600,2157117,6873200,7048200,1639100,34080800
09-03-20,14344500,10626600,5338800,63168200,87596100,5483400,128358400,5699400,87462700,257599600,6778600,14867000,2361700,1527400,86390800,2752370,3934800,5382200,1181000,58400300
09-04-20,7662000,9328800,5839600,45584000,110321900,5787900,163329800,4410900,82267800,332607200,5618500,26858200,3072200,1509200,64937000,3098657,5254800,6092000,1945800,59664100
09-08-20,9816600,6667400,3747400,67144100,115465700,3029400,89624600,6472300,54955700,231366600,3681300,59540300,1977200,2100800,72746000,2329732,3857300,5978500,1321500,52924300
09-09-20,9068100,5578200,3597600,47162700,79465800,5941600,90988400,10869800,54163900,176940500,3506800,35831900,2297700,1556300,79030200,2424790,6836500,4771500,1678700,45679000
09-10-20,15558300,5881800,3545900,35018300,84930600,4391700,79679800,18104900,51499400,182274400,3317500,29614800,1596200,1612800,52318600,3706317,7949700,15614400,9491500,35461500
09-11-20,6061200,4863000,3690600,27316100,60717500,2880900,55373500,18318500,54763000,180860300,4033300,22405100,2159100,1632300,43916700,2628460,69116900,4889800,2836400,33620100
09-14-20,10119000,4638100,3552400,21318000,83020600,5387400,68234900,11230700,47448700,140150100,5041600,31177100,5739400,1371400,39859100,2113513,12003200,6168700,1317500,30375800
09-15-20,5743500,5099300,2491000,24076200,97298200,8139100,111630500,10114300,57874400,184642000,3328200,19632500,3000900,954200,38958800,1578677,9058500,8021800,1281400,21823900
09-16-20,19256300,4380600,3158600,30873400,72279300,10613200,57671000,23627500,38393500,154679000,7725200,27886900,2725000,1068200,75200100,1913096,5065800,6634100,2369000,26328100
09-17-20,17026700,2619700,3696400,28414600,76779200,6215000,55186600,17538900,55619100,178011000,4942700,27173100,2166700,1267100,50194400,1401884,3630900,4488300,1033800,34011300
09-18-20,17407500,2428500,4055400,20339400,86406800,13904100,54885500,22628600,51082900,287104900,5204800,38157300,6295900,4711400,56403600,1583962,7827800,6358900,2172900,55225300
09-21-20,7639800,4563200,3244900,29189500,109476800,11205600,75969500,16428900,61312000,195713800,5798700,30353900,17465300,2314000,60604500,3094075,4814000,6305800,816000,39839700
09-22-20,34752500,2090100,3316700,15175300,79580800,15274000,61061100,20524700,56044700,183055400,11386800,29039300,10872600,1057100,33013400,2349050,3975700,20142500,2087200,33517100
09-23-20,10651200,4285200,4556100,19322600,95074200,13608200,70568100,52098500,42327500,150718700,10972000,40167400,5786400,1292400,45292600,4670389,6544200,6755100,1416800,30803800
09-24-20,7938800,4569700,17292800,19266900,96561100,27468800,71069500,62118300,57540900,167743300,5476400,36409500,3146400,1532100,49163200,3516622,5583100,13581600,1178300,31202500
09-25-20,7515200,2375500,5590800,32637600,67208500,9830100,44122100,38901000,48206200,149981400,4146600,41777800,4142200,991300,43764000,1654651,9144100,9370100,1577900,29437300
09-28-20,6764300,4676500,7265700,28025500,49719600,30086200,42786200,29005700,48005500,137672400,5243800,40903300,2514700,945200,63558200,1745233,11265100,9338900,1320500,32004900
09-29-20,5237600,2520000,5843900,25047400,50219300,16237100,163159200,19620600,61568900,99382200,4939200,24164600,2688400,1450500,46994300,2455715,3868000,6942800,854600,24221900
09-30-20,6079000,2515400,3808500,24780800,48145600,50199500,183530500,30634200,51533700,142675200,4738900,23238000,1992100,1135300,65428100,1928777,4518100,11833300,1482200,33829100
10-01-20,4554100,3223800,4971200,17028000,50741500,90100100,79117100,107047300,52177100,116120400,2183400,22573800,4922600,935800,48842000,1525280,13933100,83797500,1787900,27158400
10-02-20,4340500,3576000,6539300,19307700,71430000,30085200,92713600,54861800,52855100,144712000,4448500,15454100,2274700,693900,111883300,1464410,3976300,33588800,698200,33154800
10-05-20,2805000,9468800,3106300,15811400,44722800,24583200,60860100,59612300,47056500,106243800,10049100,12740100,2747300,888200,53465500,8490378,3954000,20734500,566500,21331600
10-06-20,4535400,8404200,3966000,23824300,49146300,18865500,73217100,105215900,52725400,161498200,7293400,14026800,3857900,1067600,85252400,5485175,10705600,16863100,1202700,28554300
10-07-20,3308600,6917700,2166900,15216500,43127700,12819900,59354300,64540900,43045700,96849000,6417100,9256400,6061400,992900,61274200,4434274,31531200,12434900,2424100,25681100
10-08-20,76453600,7868500,2154100,19386200,40421100,17727400,77719600,64796300,54240700,83477200,22479400,24208700,11262700,902100,88851700,11724050,8907800,7960600,1123300,19925800
10-09-20,77152800,5021400,2618200,35552900,28925700,26220600,37329000,31647700,80354400,100506900,21525100,34452600,36606000,679700,65281000,9993516,7942400,8077800,1095300,26458000
10-12-20,23655700,3245700,2268300,18341200,38791100,28177700,45476800,236240200,47669700,240226800,14570300,79836400,5623400,712000,39852500,13675708,9845100,5892900,1025100,40461400
10-13-20,10179700,10164700,10691100,19771400,34463700,35384800,42581500,102419300,42764100,262330500,7552000,62422500,9169900,797600,63372200,9685529,4763100,9540700,967400,28950800
10-14-20,10761400,31709400,5209400,20957600,47879700,22491800,382663200,43942200,40403000,150712000,6526700,25461900,8926100,1047100,37500000,9576818,6081200,25559900,971400,23421700
10-15-20,39894800,9808600,4452600,15456600,35672400,20033300,385210600,65748000,33696400,112559200,6788300,17449500,5136000,722500,33776100,21899900,3906800,10428900,953400,22733100
10-16-20,11651600,18565800,5982500,13355000,32775900,15937900,186764700,61063600,31474300,115393800,4715400,19892400,5884400,729000,32717300,6462035,3300100,11420500,1037300,26057900
10-19-20,13169100,40385100,4816400,36642500,36287800,22626400,115708700,35035100,36689100,120639300,18722700,12627700,5330500,716500,50560700,8693292,4680700,7890800,1048400,27625800
10-20-20,6604000,15978800,4616000,39536900,31656300,29437000,105233400,58503900,38219400,124423700,10043200,18417800,3476700,611600,46748800,7027735,9094800,8688700,1091800,22753500
10-21-20,5361900,7277300,3555800,43146600,32370500,24377600,65357900,25092700,36426400,89946000,12889000,17066000,2779100,480900,37503600,6704398,4239800,4629300,1348800,22724900
10-22-20,16212200,12339600,2651600,33773200,39993200,14053700,72173300,30927800,38006800,101988000,10955700,14665000,2164200,641400,90788900,3698347,6416200,6141100,1007900,22351500
10-23-20,6507300,6635000,2568000,15898800,33717000,14171200,51784000,23355200,46557700,82572600,7450100,7700000,2829700,535300,90787900,3343283,3649700,5457900,386200,18879600
10-26-20,13376300,10458800,3772800,34590500,28239200,13168000,72610300,29559800,69423700,111850700,11607000,14548300,7993800,835300,85349600,4162622,5754000,4892400,650800,37111600
10-27-20,7231000,11251300,2077900,24062200,22686500,12507600,104257700,170166800,156669500,92276800,5828300,18135700,3546800,494000,65803400,3065121,6563500,4915100,483000,36700300
10-28-20,6388600,8141100,4031200,47238600,25451400,14310000,89374900,80348100,76529900,143937800,6188300,15318700,4104200,968000,64399800,4358791,10279100,19826900,650900,51195600
10-29-20,4165800,9019300,2557000,149133000,22655300,17895000,214034700,32491000,52784100,146129200,6129500,13855200,7920900,599000,44070600,3509250,2824300,9409500,718500,31432600
10-30-20,11546900,10968800,3573900,65867800,42511300,19878900,136607400,28141700,51349000,190272600,7130000,15859900,8371300,873900,51284700,3430728,5189500,8626100,1115100,36953700
11-02-20,5227000,11180100,2864500,41682300,29021100,46490100,265719900,25288100,45760700,122866900,18706400,10956300,6929000,737900,41094500,9860989,4692500,6060900,596400,30842200
11-03-20,7454500,15441900,2781700,52419300,34351700,82351100,217608100,17162800,41231800,107624400,16327500,21222300,7187500,814600,43775200,7781532,3336300,6277500,536500,27512000
11-04-20,5807900,7609100,3113900,38149500,32143100,44237200,339385900,20423400,66579700,138235500,14140900,29586500,4584500,869800,45281300,7504440,1822700,5993300,576000,42311800
11-05-20,4705200,8056200,2596900,43167600,28414500,146651900,302472600,18249500,46542300,126387100,45981800,18560900,2920400,859500,54890800,17998330,2826500,4478500,804300,36080100
11-06-20,5518200,9049500,2853800,29258000,21706000,752252400,288784300,17554200,53829900,114457900,116415300,12543400,3025100,1446800,36703700,34362879,3185300,4304000,1322600,25231900
11-09-20,6244900,132511000,3986500,49820900,34833000,756814400,218733300,38456000,58580700,154515300,51474900,29999300,3470500,2426300,231326200,20021712,6935400,14915300,3045700,44395000
11-10-20,3826000,42129300,4143600,37387900,30284200,288263300,237403600,22064300,67137200,138023400,24794800,10571800,3238900,1612800,127529300,12327292,4998800,10321000,3461200,44045100
11-11-20,4882600,24066100,5724600,40456000,17357700,241140500,179581200,17360800,44611300,112295000,27209000,7300200,2121800,1517300,81359600,7877783,14718400,9016500,2703000,29440800
11-12-20,4353300,14729000,2987500,46774600,19855100,264995000,345932900,20173200,37242600,103162300,16882000,16035000,3938200,6292500,75511700,6230460,15644100,5773000,1829900,21593900
11-13-20,3535900,21995400,5360500,46253800,19771100,172716700,577185100,16703200,30423200,81581900,15193300,17257600,2154800,3400800,56421500,15178441,6163200,6327100,1177200,18621100
11-16-20,9774800,47604300,3276300,37591800,26838600,126995100,306209100,17159200,38640800,91183000,14447200,11463600,4415300,2359500,104867800,5069341,4000600,8454100,1243800,24953300
11-17-20,6678200,22483000,3229300,27364100,61188300,104438700,345578500,81718100,29473500,74271000,13492200,17985400,2839000,1672400,61956500,8822635,2643400,7105200,1558200,24154100
11-18-20,3169200,31717300,6118700,28103600,78044000,110873400,271678300,625506200,29968000,76322100,11712500,19396300,3285600,2425200,99888500,16079035,11104500,6957300,1418400,28372800
11-19-20,11787600,13986400,4367200,30776700,62475300,106411000,233779100,1140130700,50116800,74113000,15938000,14089600,3965900,1219600,58809400,9766002,21222800,4924800,644200,24792700
11-20-20,8395400,17088800,6583400,29367100,32911900,111087300,209106300,404508200,35008400,73604300,16964200,23716600,4818100,3000700,58685500,5958710,53644600,4740000,936700,22843100
11-23-20,9599100,31514600,4995700,32393600,50260300,141361400,270203000,283849500,46505000,127959300,37547300,25617800,8414000,9310600,100764000,6180890,17242400,9497100,1597900,25683500
11-24-20,7183200,62884600,5142800,25386800,53648500,590867600,243669700,125159300,36839200,113874200,51063000,28291300,5906600,13288400,156501000,11289938,13199500,9724600,1628100,33979700
11-25-20,8860100,22647300,4992200,16995800,48930200,177688900,204508500,90135200,41349700,76499200,16408700,14219700,2213100,5298700,101052500,9300915,23159600,10330400,680500,21012900
11-27-20,12504200,10097400,3742500,8288300,37561100,389095900,105795100,280304300,22717600,46691300,30788600,8228000,2076200,4244100,66066400,10219155,4828100,3812500,477200,14512200
11-30-20,31983500,16555000,6862900,20845200,63003100,2037786800,179765400,153498500,84483000,169410200,51769900,16007800,2853600,5848600,97536300,22668812,15023400,7249300,1581300,33064800
12-01-20,12653900,12130100,329454900,20161200,40103500,1260028700,246472300,81803000,58583600,127728200,28130400,12758700,4863200,2993000,76061200,18660405,8927400,7830300,793000,30904500
12-02-20,7883400,11847600,150129800,23692300,47775700,823299700,313028300,64158800,57988800,89004200,29667000,34371400,3586300,2361700,76032800,14703499,6130700,6050200,871900,23724500
12-03-20,6295000,66080900,40307200,18883600,42552000,950386000,173424000,73322300,35859700,78967600,18727700,25815600,1880600,4867400,169287200,9890090,6867600,7525600,793600,25120900
12-04-20,8972700,33157300,69814500,19651500,29401300,770845700,191969900,45072600,45570300,78260400,43841800,11759100,8669900,3409400,117387600,13546811,63665600,6302700,2602400,24666000
12-07-20,7386300,20503900,44629100,21546500,56309700,392331000,165048500,38331500,39815700,86712000,17199300,9592800,9417000,2648700,157231900,8794077,26487000,7226200,2092200,24620000
12-08-20,16120200,29530600,26885100,35820000,64265000,354837700,115799600,31871600,33907500,82225500,12462700,11397000,4450700,4299700,95855400,7374739,9167600,9612400,1567700,23284100
12-09-20,24357900,20991200,19628000,31808800,71291200,215867800,121387900,52063500,52170400,115089200,16275900,13621300,4174600,4699000,138508300,8908304,11966100,8869500,1999100,32440600
12-10-20,7558900,19872800,10923200,27951000,67083200,142857900,107376800,34568300,33804400,81312200,8287400,8979200,3105200,1977100,86395200,5310225,6677800,6943800,975000,26733300
12-11-20,7496900,22310400,11643200,34215600,46475000,238845200,147076100,19086200,28368100,86939800,7163000,13468900,5291100,2170300,106957300,4860064,5219300,6276500,777400,30979400
12-14-20,10007100,67159000,14675500,21093200,52040600,129478800,171598200,29559900,48026400,79184500,11455200,8374500,14045400,1815000,88139900,5361900,3782300,9481800,1268500,28798400
12-15-20,8189800,54432100,9782000,18725600,45071500,179500000,132336900,37829900,57232700,157243700,25450100,8621800,44980300,3662000,88795200,9680751,5377000,8933700,814100,27000600
12-16-20,5865100,25423200,8043200,19877700,42095800,129698900,120109600,52500600,34909000,98208600,94878800,9407000,13580400,3602100,59232600,31258623,3212700,6179200,936800,35023300
12-17-20,8194900,23799300,17717900,26082200,56270100,200171200,130003700,232850900,32023700,94359800,25716100,8230700,34564400,4060100,49386300,15886802,4360900,5382200,689200,32515800
12-18-20,16618800,21941700,49470100,20259700,222126200,116383800,126251100,259613600,51823100,192541500,13003600,10984100,39723700,15328200,74782800,6881624,4068700,8441000,1561200,63354900
