DATE,OPEN,HIGH,LOW,CLOSE
01/07/2020,13.84,14.46,13.39,13.79
01/08/2020,15.16,15.24,12.83,13.45
01/09/2020,12.95,13.24,12.53,12.54
01/10/2020,12.42,12.87,12.09,12.56
01/13/2020,12.84,13.09,12.32,12.32
01/14/2020,12.72,13.82,12.05,12.39
01/15/2020,12.79,12.83,11.95,12.42
01/16/2020,12.2,12.42,11.78,12.32
01/17/2020,12.21,12.48,11.75,12.1
01/21/2020,13.23,13.33,12.32,12.85
01/22/2020,12.45,13.01,12.31,12.91
01/23/2020,13.26,14.15,12.94,12.98
01/24/2020,12.75,15.98,12.62,14.56
01/27/2020,17.42,19.02,16.82,18.23
01/28/2020,16.94,18.03,15.69,16.28
01/29/2020,15.68,16.65,14.94,16.39
01/30/2020,17.82,18.39,15.3,15.49
01/31/2020,16.25,19.99,16.18,18.84
02/03/2020,18.64,18.88,17.1,17.97
02/04/2020,16.45,16.46,15.63,16.05
02/05/2020,16.29,16.32,15.02,15.15
02/06/2020,15.13,15.66,14.7,14.96
02/07/2020,15.07,16.16,14.81,15.47
02/10/2020,15.88,16.43,15.01,15.04
02/11/2020,14.91,15.27,14.38,15.18
02/12/2020,14.86,14.88,13.73,13.74
02/13/2020,14.43,15.44,14.0,14.15
02/14/2020,14.12,14.54,13.38,13.68
02/18/2020,14.98,15.49,14.53,14.83
02/19/2020,14.66,14.74,14.21,14.38
02/20/2020,14.54,17.21,14.49,15.56
02/21/2020,17.33,18.21,16.19,17.08
02/24/2020,22.25,26.35,22.0,25.03
02/25/2020,22.19,30.25,22.19,27.85
02/26/2020,26.63,29.57,24.76,27.56
02/27/2020,28.95,39.31,27.79,39.16
02/28/2020,42.02,49.48,39.37,40.11
03/02/2020,34.86,43.77,31.5,33.42
03/03/2020,33.64,41.06,24.93,36.82
03/04/2020,34.44,35.58,30.3,31.99
03/05/2020,33.61,42.84,33.54,39.62
03/06/2020,41.46,54.39,40.84,41.94
03/09/2020,41.94,62.12,41.94,54.46
03/10/2020,49.68,55.66,43.56,47.3
03/11/2020,52.24,55.82,49.98,53.9
03/12/2020,61.46,76.83,59.91,75.47
03/13/2020,71.31,77.57,55.17,57.83
03/16/2020,57.83,83.56,57.83,82.69
03/17/2020,82.69,84.83,70.37,75.91
03/18/2020,69.37,85.47,69.37,76.45
03/19/2020,80.62,84.26,68.57,72.0
03/20/2020,67.86,69.51,57.42,66.04
03/23/2020,74.08,76.74,60.46,61.59
03/24/2020,58.76,61.88,36.24,61.67
03/25/2020,61.44,68.86,58.03,63.95
03/26/2020,65.67,67.06,57.66,61.0
03/27/2020,64.95,69.1,61.8,65.54
03/30/2020,66.3,67.69,56.6,57.08
03/31/2020,56.69,58.75,50.88,53.54
04/01/2020,57.38,60.59,52.76,57.06
04/02/2020,54.46,57.24,50.45,50.91
04/03/2020,51.11,52.29,46.74,46.8
04/06/2020,44.17,45.73,43.45,45.24
04/07/2020,44.83,47.51,43.51,46.7
04/08/2020,45.9,47.28,42.53,43.35
04/09/2020,43.0,45.73,41.39,41.67
04/13/2020,44.6,45.04,41.17,41.17
04/14/2020,40.24,40.57,37.31,37.76
04/15/2020,39.4,43.23,39.34,40.84
04/16/2020,41.92,43.02,39.87,40.11
04/17/2020,39.5,40.26,37.63,38.15
04/20/2020,40.68,43.83,39.88,43.83
04/21/2020,44.28,47.77,43.77,45.41
04/22/2020,44.91,45.07,41.41,41.98
04/23/2020,41.3,42.47,39.06,41.38
04/24/2020,41.91,42.08,35.6,35.93
04/27/2020,36.29,36.44,32.51,33.29
04/28/2020,33.21,35.39,30.54,33.57
04/29/2020,32.48,33.19,30.71,31.23
04/30/2020,30.99,35.94,30.93,34.15
05/01/2020,38.17,39.57,36.59,37.19
05/04/2020,39.13,40.32,35.53,35.97
05/05/2020,34.82,36.22,31.95,33.61
05/06/2020,32.69,35.69,31.68,34.12
05/07/2020,32.12,32.28,30.37,31.44
05/08/2020,30.14,30.39,27.89,27.98
05/11/2020,28.46,31.46,26.97,27.57
05/12/2020,28.47,33.04,26.0,33.04
05/13/2020,32.74,37.42,30.77,35.28
05/14/2020,35.16,39.28,32.33,32.61
05/15/2020,32.5,35.13,31.04,31.89
05/18/2020,30.71,31.08,28.35,29.3
05/19/2020,28.73,30.74,28.37,30.53
05/20/2020,29.52,29.83,27.83,27.99
05/21/2020,28.97,30.2,27.67,29.53
05/22/2020,31.36,31.55,28.03,28.16
05/26/2020,27.72,28.58,27.18,28.01
05/27/2020,27.62,30.53,25.92,27.62
05/28/2020,27.82,29.89,27.43,28.59
05/29/2020,29.3,30.16,27.29,27.51
06/01/2020,28.94,30.6,28.11,28.23
06/02/2020,28.4,28.52,26.66,26.84
06/03/2020,26.75,26.98,25.04,25.66
06/04/2020,26.23,26.43,24.38,25.81
06/05/2020,24.79,25.09,23.54,24.52
06/08/2020,25.56,25.98,24.65,25.81
06/09/2020,25.93,27.7,25.71,27.57
06/10/2020,26.73,29.01,26.06,27.57
06/11/2020,30.45,42.58,29.49,40.79
06/12/2020,37.68,44.16,34.97,36.09
06/15/2020,44.09,44.44,34.28,34.4
06/16/2020,34.28,37.45,31.73,33.67
06/17/2020,33.28,35.17,32.25,33.47
06/18/2020,33.83,36.25,32.24,32.94
06/19/2020,32.07,35.12,30.4,35.12
06/22/2020,35.22,35.39,31.64,31.77
06/23/2020,31.71,31.71,29.26,31.37
06/24/2020,31.05,37.12,30.95,33.84
06/25/2020,36.59,36.93,31.59,32.22
06/26/2020,33.01,36.25,31.04,34.73
06/29/2020,35.05,36.31,31.78,31.78
06/30/2020,32.54,32.94,29.56,30.43
07/01/2020,30.96,31.76,28.2,28.62
07/02/2020,28.33,28.44,25.9,27.68
07/06/2020,27.76,28.33,24.92,27.94
07/07/2020,28.77,29.63,27.25,29.43
07/08/2020,28.95,30.2,27.24,28.08
07/09/2020,28.18,31.48,26.11,29.26
07/10/2020,30.86,30.91,27.13,27.29
07/13/2020,27.85,32.45,26.87,32.19
07/14/2020,31.14,33.67,29.21,29.52
07/15/2020,29.15,30.09,27.17,27.76
07/16/2020,28.41,29.29,26.98,28.0
07/17/2020,27.15,27.54,25.41,25.68
07/20/2020,26.94,27.08,24.35,24.46
07/21/2020,24.08,25.65,23.61,24.84
07/22/2020,24.56,26.26,24.13,24.32
07/23/2020,23.97,26.95,23.6,26.08
07/24/2020,27.96,28.58,25.53,25.84
07/27/2020,26.6,26.94,24.55,24.74
07/28/2020,24.86,25.85,24.05,25.44
07/29/2020,25.16,25.42,23.73,24.1
07/30/2020,25.04,28.29,24.64,24.76
07/31/2020,24.79,26.41,23.55,24.46
08/03/2020,25.75,26.01,22.17,24.28
08/04/2020,24.01,24.76,22.92,23.76
08/05/2020,23.44,23.61,22.86,22.99
08/06/2020,23.03,24.11,20.97,22.65
08/07/2020,23.45,24.02,22.02,22.21
08/10/2020,22.88,23.52,21.46,22.13
08/11/2020,21.85,24.93,20.28,24.03
08/12/2020,22.82,22.88,21.54,22.28
08/13/2020,22.2,22.92,21.45,22.13
08/14/2020,22.27,23.55,21.79,22.05
08/17/2020,22.52,22.82,21.34,21.35
08/18/2020,21.69,22.55,21.18,21.51
08/19/2020,21.6,22.98,20.99,22.54
08/20/2020,24.1,24.6,22.37,22.72
08/21/2020,22.58,24.47,22.06,22.54
08/24/2020,22.87,23.18,21.25,22.37
08/25/2020,22.16,23.43,21.53,22.03
08/26/2020,22.14,23.27,20.92,23.27
08/27/2020,23.42,27.09,21.44,24.47
08/28/2020,24.59,26.3,22.64,22.96
08/31/2020,23.91,26.5,21.77,26.41
09/01/2020,25.86,26.59,25.02,26.12
09/02/2020,26.01,27.07,25.53,26.57
09/03/2020,26.28,35.94,25.66,33.6
09/04/2020,34.62,38.28,29.5,30.75
09/08/2020,30.61,35.93,30.52,31.46
09/09/2020,31.68,31.78,28.12,28.81
09/10/2020,28.67,30.56,27.59,29.71
09/11/2020,28.63,29.73,26.51,26.87
09/14/2020,25.86,26.79,25.38,25.85
09/15/2020,25.92,26.0,24.92,25.59
09/16/2020,25.31,26.59,24.84,26.04
09/17/2020,28.22,28.92,26.26,26.46
09/18/2020,26.65,28.1,25.28,25.83
09/21/2020,28.04,31.18,27.39,27.78
09/22/2020,28.61,28.78,26.48,26.86
09/23/2020,27.02,29.73,25.19,28.58
09/24/2020,29.54,30.49,27.94,28.51
09/25/2020,28.17,30.43,26.02,26.38
09/28/2020,27.15,27.19,24.9,26.19
09/29/2020,26.81,27.43,25.98,26.27
09/30/2020,26.69,27.12,25.06,26.37
10/01/2020,25.78,27.11,25.33,26.7
10/02/2020,28.87,29.9,26.93,27.63
10/05/2020,29.52,29.69,27.27,27.96
10/06/2020,28.05,30.0,26.01,29.48
10/07/2020,29.26,29.76,27.94,28.06
10/08/2020,27.65,27.99,24.88,26.36
10/09/2020,26.2,26.22,24.03,25.0
10/12/2020,25.65,25.65,24.14,25.07
10/13/2020,25.67,26.93,25.16,26.07
10/14/2020,25.72,27.23,25.53,26.4
10/15/2020,27.1,29.06,26.82,26.97
10/16/2020,27.16,27.46,26.19,27.41
10/19/2020,27.36,29.69,27.04,29.18
