,Date,Total Volume
0,06-24-19,47582700
1,06-25-19,82028700
2,06-26-19,51584900
3,06-27-19,40355200
4,06-28-19,59350900
5,07-01-19,78705600
6,07-02-19,61504500
7,07-03-19,40898900
8,07-05-19,51677300
9,07-08-19,45841800
10,07-09-19,41101300
11,07-10-19,58448500
12,07-11-19,50826100
13,07-12-19,40326000
14,07-15-19,33900000
15,07-16-19,36650100
16,07-17-19,36036300
17,07-18-19,51392600
18,07-19-19,58678600
19,07-22-19,43638100
20,07-23-19,44564500
21,07-24-19,47213200
22,07-25-19,55394100
23,07-26-19,45084100
24,07-29-19,38126500
25,07-30-19,45849000
26,07-31-19,104245200
27,08-01-19,142646600
28,08-02-19,116749700
29,08-05-19,178745400
30,08-06-19,120711700
31,08-07-19,140572300
32,08-08-19,87713900
33,08-09-19,93730000
34,08-12-19,65527600
35,08-13-19,94299800
36,08-14-19,135622100
37,08-15-19,99556600
38,08-16-19,83018300
39,08-19-19,53571800
40,08-20-19,51596400
41,08-21-19,49524700
42,08-22-19,51666400
43,08-23-19,149161500
44,08-26-19,72423800
45,08-27-19,66668900
46,08-28-19,59696700
47,08-29-19,57899400
48,08-30-19,62901200
49,09-03-19,69101400
50,09-04-19,46887300
51,09-05-19,83258100
52,09-06-19,49584300
53,09-09-19,51260300
54,09-10-19,57947100
55,09-11-19,68821100
56,09-12-19,72908700
57,09-13-19,62104800
58,09-16-19,58191200
59,09-17-19,41475500
60,09-18-19,73375800
61,09-19-19,76560500
62,09-20-19,89565000
63,09-23-19,43476800
64,09-24-19,94869400
65,09-25-19,71854000
66,09-26-19,56179700
67,09-27-19,84746600
68,09-30-19,51662400
69,10-01-19,88242400
70,10-02-19,122539500
71,10-03-19,85278800
72,10-04-19,65091200
73,10-07-19,59610500
74,10-08-19,95708100
75,10-09-19,62359400
76,10-10-19,55296300
77,10-11-19,98720400
78,10-14-19,40394800
79,10-15-19,46754500
80,10-16-19,48928200
81,10-17-19,45736600
82,10-18-19,64304000
83,10-21-19,39048600
84,10-22-19,48594700
85,10-23-19,34352200
86,10-24-19,35453100
87,10-25-19,45205400
88,10-28-19,42147000
89,10-29-19,44284900
90,10-30-19,49643900
91,10-31-19,69053800
92,11-01-19,71141500
93,11-04-19,60606900
94,11-05-19,42933200
95,11-06-19,46487100
96,11-07-19,54272300
97,11-08-19,49032100
98,11-11-19,35797300
99,11-12-19,46484600
100,11-13-19,53917700
101,11-14-19,51219900
102,11-15-19,62023600
103,11-18-19,49228000
104,11-19-19,67804700
105,11-20-19,79406200
106,11-21-19,54664700
107,11-22-19,44850200
108,11-25-19,48647200
109,11-26-19,37569000
110,11-27-19,44444600
111,11-29-19,36592700
112,12-02-19,75767800
113,12-03-19,73941700
114,12-04-19,49080000
115,12-05-19,40709000
116,12-06-19,48927000
117,12-09-19,34838500
118,12-10-19,52649800
119,12-11-19,53429100
120,12-12-19,96389600
121,12-13-19,81503900
122,12-16-19,82749700
123,12-17-19,61097700
124,12-18-19,48133000
125,12-19-19,85310500
126,12-20-19,147142100
127,12-23-19,52990000
128,12-24-19,20270000
129,12-26-19,30911200
130,12-27-19,42528800
131,12-30-19,49729100
132,12-31-19,57077300
