Date,Total Mentions
6/21/20,92
6/22/20,269
6/23/20,221
6/24/20,215
6/25/20,250
6/26/20,252
6/27/20,163
6/28/20,78
6/29/20,174
6/30/20,311
7/1/20,269
7/2/20,373
7/3/20,125
7/4/20,79
7/5/20,124
7/6/20,313
7/7/20,348
7/8/20,321
7/9/20,399
7/10/20,473
7/11/20,207
7/12/20,190
7/13/20,401
7/14/20,277
7/15/20,298
7/16/20,312
7/17/20,349
7/18/20,136
7/19/20,99
7/20/20,323
7/21/20,335
7/22/20,295
7/23/20,231
7/24/20,301
7/25/20,108
7/26/20,122
7/27/20,309
7/28/20,367
7/29/20,341
7/30/20,465
7/31/20,414
8/1/20,181
8/2/20,263
8/3/20,479
8/4/20,586
8/5/20,563
8/6/20,528
8/7/20,342
8/8/20,164
8/9/20,145
8/10/20,351
8/11/20,361
8/12/20,389
8/13/20,451
8/14/20,525
8/15/20,256
8/16/20,211
8/17/20,350
8/18/20,371
8/19/20,372
8/20/20,411
8/21/20,326
8/22/20,273
8/23/20,217
8/24/20,358
8/25/20,359
8/26/20,467
8/27/20,430
8/28/20,455
8/29/20,200
8/30/20,183
8/31/20,523
9/1/20,520
9/2/20,580
9/3/20,538
9/4/20,554
9/5/20,160
9/6/20,164
9/7/20,141
9/8/20,367
9/9/20,368
9/10/20,387
9/11/20,255
9/12/20,112
9/13/20,60
9/14/20,248
9/15/20,340
9/16/20,761
9/17/20,366
9/18/20,205
9/19/20,165
9/20/20,211
9/21/20,328
9/22/20,200
9/23/20,479
9/24/20,267
9/25/20,240
9/26/20,133
9/27/20,48
9/28/20,183
9/29/20,249
9/30/20,214
10/1/20,227
10/2/20,295
10/3/20,93
10/4/20,72
10/5/20,224
10/6/20,235
10/7/20,240
10/8/20,921
10/9/20,370
10/10/20,218
10/11/20,196
10/12/20,280
10/13/20,335
10/14/20,387
10/15/20,428
10/16/20,393
10/17/20,190
10/18/20,119
10/19/20,139
10/20/20,230
10/21/20,294
10/22/20,297
10/23/20,259
10/24/20,104
10/25/20,133
10/26/20,195
10/27/20,243
10/28/20,278
10/29/20,286
10/30/20,224
